序号,瓷砖颜色编号
1,1
2,7
3,7
4,6
5,6
6,6
7,7
8,7
9,6
10,6
11,6
12,6
13,7
14,7
15,6
16,6
17,16
18,16
19,7
20,6
21,6
22,16
23,16
24,16
25,5
26,6
27,16
28,16
29,12
30,12
31,6
32,16
33,12
34,12
35,12
36,12
37,1
38,11
39,11
40,11
41,6
42,6
43,1
44,7
45,7
46,7
47,6
48,6
49,7
50,7
51,7
52,6
53,6
54,6
55,5
56,7
57,6
58,6
59,6
60,16
61,5
62,5
63,6
64,6
65,16
66,16
67,5
68,5
69,6
70,16
71,12
72,12
73,1
74,11
75,11
76,11
77,11
78,11
79,1
80,11
81,11
82,11
83,11
84,6
85,11
86,11
87,11
88,7
89,6
90,6
91,5
92,5
93,7
94,7
95,6
96,6
97,5
98,5
99,5
100,6
101,6
102,16
103,5
104,5
105,5
106,6
107,16
108,16
109,10
110,10
111,10
112,11
113,11
114,11
115,10
116,10
117,11
118,11
119,11
120,11
121,10
122,10
123,11
124,11
125,11
126,20
127,10
128,11
129,11
130,22
131,20
132,20
133,15
134,15
135,5
136,20
137,20
138,20
139,15
140,5
141,5
142,20
143,20
144,20
145,13
146,13
147,10
148,10
149,22
150,22
151,10
152,10
153,10
154,10
155,22
156,22
157,10
158,10
159,10
160,22
161,22
162,22
163,10
164,10
165,22
166,22
167,22
168,20
169,10
170,10
171,22
172,18
173,18
174,20
175,15
176,15
177,18
178,18
179,20
180,20
181,13
182,13
183,13
184,13
185,13
186,8
187,17
188,13
189,13
190,10
191,8
192,8
193,9
194,10
195,10
196,10
197,8
198,22
199,14
200,10
201,10
202,8
203,8
204,22
205,14
206,10
207,8
208,8
209,18
210,18
211,4
212,19
213,19
214,18
215,18
216,20
