序号,瓷砖颜色编号
1,12
2,16
3,6
4,6
5,7
6,16
7,7
8,7
9,16
10,16
11,6
12,6
13,16
14,12
15,16
16,6
17,12
18,6
19,16
20,6
21,7
22,6
23,5
24,7
25,6
26,5
27,11
28,16
29,7
30,5
31,16
32,6
33,11
34,7
35,7
36,5
37,6
38,6
39,6
40,7
41,7
42,5
43,7
44,11
45,7
46,7
47,7
48,6
49,6
50,6
51,16
52,16
53,6
54,11
55,11
56,7
57,11
58,16
59,11
60,11
61,6
62,5
63,6
64,6
65,6
66,5
67,6
68,1
69,5
70,6
71,1
72,11
73,6
74,11
75,6
76,6
77,10
78,6
79,1
80,11
81,11
82,11
83,5
84,5
85,6
86,5
87,11
88,11
89,6
90,20
91,5
92,11
93,11
94,10
95,11
96,15
97,11
98,5
99,20
100,11
101,11
102,20
103,10
104,5
105,11
106,11
107,10
108,10
109,10
110,15
111,5
112,20
113,10
114,20
115,22
116,10
117,10
118,20
119,10
120,20
121,15
122,18
123,13
124,22
125,20
126,18
127,18
128,22
129,10
130,10
131,10
132,22
133,22
134,10
135,10
136,22
137,10
138,22
139,13
140,10
141,10
142,18
143,18
144,10
145,20
146,13
147,10
148,22
149,22
150,22
151,10
152,4
153,10
154,17
155,10
156,19
157,22
158,18
159,10
160,13
161,8
162,13
163,8
164,8
165,10
166,14
167,10
168,10
169,10
170,8
171,13
172,9
173,22
174,10
175,8
176,19
177,21
178,19
179,13
180,10
181,2
182,13
183,10
184,21
185,21
186,14
187,8
188,13
189,14
190,4
191,8
192,10
193,9
194,17
195,14
196,8
197,8
198,13
199,13
200,9
